"species","WG_num_transcript","WG_num_gene","WG_num_exon","WG_num_uniqExon","WG_min_transcriptPerGene","WG_min_exonPerTranscript","WG_min_exonPerGene","WG_q1_transcriptPerGene","WG_q1_exonPerTranscript","WG_q1_exonPerGene","WG_median_transcriptPerGene","WG_median_exonPerTranscript","WG_median_exonPerGene","WG_q3_transcriptPerGene","WG_q3_exonPerTranscript","WG_q3_exonPerGene","WG_max_transcriptPerGene","WG_max_exonPerTranscript","WG_max_exonPerGene","WG_mean_transcriptPerGene","WG_mean_exonPerTranscript","WG_mean_exonPerGene","WG_std_transcriptPerGene","WG_std_exonPerTranscript","WG_std_exonPerGene","ortho_num_transcript","ortho_num_gene","ortho_num_exon","ortho_num_uniqExon","ortho_min_transcriptPerGene","ortho_min_exonPerTranscript","ortho_min_exonPerGene","ortho_q1_transcriptPerGene","ortho_q1_exonPerTranscript","ortho_q1_exonPerGene","ortho_median_transcriptPerGene","ortho_median_exonPerTranscript","ortho_median_exonPerGene","ortho_q3_transcriptPerGene","ortho_q3_exonPerTranscript","ortho_q3_exonPerGene","ortho_max_transcriptPerGene","ortho_max_exonPerTranscript","ortho_max_exonPerGene","ortho_mean_transcriptPerGene","ortho_mean_exonPerTranscript","ortho_mean_exonPerGene","ortho_std_transcriptPerGene","ortho_std_exonPerTranscript","ortho_std_exonPerGene"
"Callorhinchus_milii",35020,21244,390835,210136,1,1,1,1,4,3,1,8,7,2,15,13,45,280,280,1.648465449,11.16033695,9.892581435,1.561534821,11.09850743,10.4804799,28375,15319,364419,190368,1,1,1,1,6,5,1,10,10,2,17,16,29,280,280,1.852274953,12.84296035,12.42763888,1.720378124,11.26630024,10.95981198
"Canis_lupus_familiaris",83609,31838,913515,301961,1,1,1,1,4,3,1,8,6,3,14,13,50,316,316,2.626075759,10.92603667,9.486462718,3.276619055,10.60513037,10.26598802,60304,18998,811857,246272,1,1,1,1,6,5,2,11,10,4,18,17,50,316,316,3.174228866,13.46273879,12.96515423,3.715421032,11.30615763,11.70800483
"Cavia_porcellus",45410,26252,467003,236309,1,1,1,1,3,2,1,7,6,2,14,12,31,328,328,1.72977297,10.28414446,9.001866524,1.704829029,10.13135196,10.00103402,37264,19481,445551,219883,1,1,1,1,5,4,1,9,9,2,16,15,30,328,328,1.91283815,11.95660691,11.28730558,1.870389598,10.41640718,10.62009387
"Chelonia_mydas",85273,27777,1081353,297371,1,1,1,1,5,3,1,10,7,3,17,15,50,300,300,3.069913958,12.68107138,10.7072398,4.266529876,11.01812297,11.41701625,66578,16198,980411,242865,1,1,1,1,7,7,2,12,12,5,19,20,50,300,300,4.110260526,14.72575025,14.9953698,5.027682058,11.19749899,12.50055664
"Ciona_intestinalis",24973,16327,270540,154137,1,1,1,1,3,3,1,8,7,2,14,12,50,230,230,1.529552275,10.83329996,9.448092117,1.339600555,12.39310053,10.41368317,17245,10901,230280,126918,1,1,1,1,6,5,1,10,9,2,16,15,50,230,230,1.581964957,13.35343578,11.64865609,1.43456717,13.60442232,11.53787681
"Colobus_angolensis_palliatus",43405,24314,401096,235678,1,1,1,1,4,3,1,7,7,2,12,13,28,313,313,1.78518549,9.240778712,9.697046969,1.526888169,8.861778458,9.902270873,38434,19658,389032,224377,1,1,1,1,4,5,1,8,9,2,13,15,28,313,313,1.95513277,10.12207941,11.4175908,1.640511125,9.030172587,10.24864853
"Columba_livia",52633,26536,514683,240328,1,1,1,1,3,3,1,6,5,2,13,12,50,317,317,1.983456437,9.778712975,9.057356045,2.532797768,9.680827237,9.884954782,32914,15115,427850,192386,1,1,1,1,6,5,1,10,10,2,17,17,50,317,317,2.177571948,12.99902777,12.72868012,2.646968861,10.74562027,11.30080113
"Crocodylus_porosus",34382,19358,410955,198115,1,1,1,1,4,3,1,9,7,2,16,14,33,322,322,1.776113235,11.95262056,10.23483831,1.715969421,11.18891486,10.63831069,29057,14584,395211,183923,1,1,1,1,6,5,1,11,10,2,18,16,33,322,322,1.992388919,13.60123206,12.61204059,1.904101385,11.41451612,11.25606323
"Danio_rerio",75520,47046,794067,387264,1,1,1,1,3,2,1,7,5,2,14,11,50,317,318,1.605237427,10.51465837,8.238341198,1.761978843,12.48754873,10.00218116,56606,31541,745122,351725,1,1,1,1,5,4,1,9,8,2,17,14,50,317,318,1.79467994,13.16330424,11.15627279,2.021980885,13.28789639,10.94319907
"Delphinapterus_leucas",60359,23860,749299,255575,1,1,1,1,5,3,1,9,7,3,16,15,50,327,327,2.529715004,12.41403933,10.71404023,2.877756804,11.62266238,11.17638213,52041,17841,720760,237056,1,1,1,1,6,5,2,11,10,4,18,18,50,327,327,2.916932907,13.84984916,13.2890533,3.145347609,11.851944,11.72710142
"Echinops_telfairi",37461,24789,371994,210009,1,1,1,1,3,2,1,7,5,1,14,12,50,315,316,1.511194481,9.930167374,8.472306265,1.538360855,10.10397008,9.836316178,29986,17950,355285,195632,1,1,1,1,5,4,1,9,8,2,16,14,50,315,316,1.670529248,11.84836257,10.8989415,1.749151318,10.35983494,10.46568663
"Equus_caballus",78047,30298,938466,290066,1,1,1,1,4,3,1,8,6,3,16,13,50,318,326,2.575978612,12.02436993,9.575516536,3.071146963,14.5096119,10.65416798,62641,20455,885339,255698,1,1,1,1,6,5,2,11,10,4,18,17,50,318,326,3.062380836,14.13353874,12.50207773,3.465261556,15.43241659,11.71157248
"Erinaceus_europaeus",30386,20177,325479,204829,1,1,1,1,4,3,1,8,7,2,14,14,28,312,312,1.505972147,10.71147897,10.15215344,1.2070851,9.816596144,10.15050034,29141,18990,322341,201881,1,1,1,1,5,4,1,9,8,2,15,14,28,312,312,1.534544497,11.06142548,10.63122696,1.236413632,9.863241326,10.25924552
"Felis_catus",72795,31494,800937,282199,1,1,1,1,4,2,1,8,5,3,15,12,50,327,327,2.311392646,11.00263754,8.96091319,2.675552353,10.84445667,10.24763539,55997,19197,744703,243584,1,1,1,1,6,5,2,10,10,4,17,17,50,327,327,2.916966193,13.2989803,12.68932646,3.16718007,11.31143248,11.49903541
"Fundulus_heteroclitus",58739,34053,692743,319540,1,1,1,1,4,3,1,8,6,2,16,12,50,258,258,1.724928787,11.79357837,9.384048395,1.860442887,12.25127506,10.06691376,43088,21596,623384,267252,1,1,1,1,6,5,1,11,10,2,19,16,50,258,258,1.995184293,14.46769402,12.37516207,2.166741163,13.02511631,11.11608001
"Galeopterus_variegatus",36028,26095,328195,220444,1,1,1,1,3,3,1,7,6,1,12,11,25,314,314,1.380647634,9.109442656,8.449588044,1.09539661,8.668846596,8.804275617,31791,22144,317744,210992,1,1,1,1,4,4,1,8,7,1,13,13,25,314,314,1.435648483,9.994778396,9.52908237,1.168430788,8.832902567,9.114944062
"Gallus_gallus",76288,25228,1000223,269388,1,1,1,1,5,3,1,10,7,3,17,15,51,307,307,3.023941652,13.11114461,10.68126685,4.356226924,13.0743297,11.37506755,57415,15216,898506,222309,1,1,1,1,7,6,2,12,12,4,20,19,51,155,158,3.773330705,15.64932509,14.6127103,4.974078173,13.69105438,12.23420992
"Gavialis_gangeticus",32624,18678,390308,191939,1,1,1,1,4,3,1,9,7,2,16,14,36,330,330,1.746653817,11.96383031,10.27706393,1.668249846,11.3727617,10.67652461,27580,14198,375445,178953,1,1,1,1,6,5,1,11,10,2,18,16,36,330,330,1.942527116,13.61294416,12.60501479,1.847597278,11.60488297,11.25097391
"Gekko_japonicus",26345,21205,252046,196646,1,1,1,1,3,3,1,7,7,1,13,12,19,324,324,1.242395661,9.567128487,9.273944824,0.850948135,9.153044521,9.473275924,24151,19084,247413,192279,1,1,1,1,4,4,1,8,8,1,13,13,19,324,324,1.265510375,10.24442052,10.07550828,0.890706703,9.254439225,9.644246278
"Gorilla_gorilla_gorilla",62834,29124,652410,261266,1,1,1,1,4,2,1,8,6,2,14,12,50,360,360,2.157464634,10.38307286,8.975175113,2.503164684,9.974022436,10.0868989,38520,13432,457146,165407,1,1,1,1,6,6,2,10,10,3,16,16,50,183,183,2.86777844,11.86775701,12.31551519,3.012360985,9.325950194,9.84891014
"Homo_sapiens",177497,44682,1998918,424878,1,1,1,1,4,3,2,8,5,4,15,12,177,363,367,3.972449756,11.2617002,9.575511392,6.494083308,11.03096525,11.21458911,138173,22034,1863991,334996,1,1,1,1,6,6,3,11,12,8,17,21,177,363,367,6.270899519,13.49026944,15.23577199,8.503101067,11.47030081,13.34570174
"Latimeria_chalumnae",41183,26560,395022,231189,1,1,1,1,3,3,1,7,6,1,12,12,37,249,251,1.550564759,9.591870432,8.705158133,1.420166029,9.789110056,8.985565805,33495,19886,369288,209333,1,1,1,1,5,4,1,8,8,2,14,14,37,249,251,1.6843508,11.02516794,10.52720507,1.56449913,10.27800377,9.649301319
"Loxodonta_africana",47518,25224,496310,232806,1,1,1,1,4,2,1,8,6,2,14,13,50,318,318,1.883840787,10.4446736,9.229979385,2.175174064,9.92412451,10.34279617,41608,20488,480612,222134,1,1,1,1,5,4,1,9,8,2,15,15,50,318,318,2.030847325,11.55095174,10.84259078,2.28415892,10.0854474,10.78521917
"Macaca_mulatta",88279,34607,1016502,303400,1,1,1,1,4,2,1,8,5,3,16,12,51,339,344,2.550900107,11.51465241,8.769902043,3.40309534,11.89391816,10.56734625,68474,19458,955049,259451,1,1,1,1,6,5,2,11,10,4,18,18,51,339,344,3.519066708,13.94761515,13.33672525,4.166742448,12.32306795,12.00026934
"Mandrillus_leucophaeus",43142,24513,396373,236273,1,1,1,1,4,3,1,7,7,2,12,13,27,271,271,1.759964101,9.187636178,9.642924163,1.518376727,8.754594055,9.769590839,38155,19838,383803,224456,1,1,1,1,4,5,1,8,9,2,13,15,27,271,271,1.923328965,10.05904862,11.31782438,1.632556548,8.925501047,10.1145606
"Microcebus_murinus",74854,28984,854309,282671,1,1,1,1,4,3,1,8,6,3,15,13,50,314,321,2.582597295,11.41300398,9.754209219,3.117677632,12.92776375,10.44778584,59884,19758,798072,248132,1,1,1,1,6,5,2,10,10,4,17,17,50,314,321,3.03087357,13.32696547,12.55967203,3.503569551,13.75616478,11.44657149
"Monodelphis_domestica",69896,33748,667102,281736,1,1,1,1,3,3,1,6,5,2,13,11,50,167,171,2.071115325,9.544208538,8.34858362,2.171256447,10.15930721,9.34742648,48786,19932,593120,232200,1,1,1,1,5,4,1,9,9,3,16,16,50,167,171,2.447621915,12.15758619,11.65011038,2.535031932,10.97015852,10.74781476
"Mus_musculus",133543,40840,1520722,361144,1,1,1,1,4,2,1,8,5,3,15,11,88,349,359,3.269906954,11.38750814,8.857664055,5.034793643,11.79720101,10.85765063,99657,20611,1412871,289390,1,1,1,1,6,5,3,11,11,6,18,19,88,349,359,4.835136578,14.17733827,14.05249624,6.498773049,12.41803782,13.030508
"Nanorana_parkeri",26910,20983,271396,201577,1,1,1,1,4,3,1,7,7,1,13,13,25,302,302,1.282466759,10.08532144,9.607301149,0.919576525,9.690114951,9.888319663,24258,18409,264499,194835,1,1,1,1,5,4,1,8,8,1,14,14,25,302,302,1.317725026,10.9035782,10.58373622,0.972587844,9.846225573,10.15374846
"Nipponia_nippon",17337,15265,193214,169306,1,1,1,1,5,4,1,9,8,1,14,14,21,304,304,1.135735342,11.14460403,11.09243367,0.588184922,10.35371899,10.52324899,16926,14857,192306,168413,1,1,1,1,5,5,1,9,9,1,15,15,21,304,304,1.139260954,11.36157391,11.33681093,0.59564866,10.37439516,10.55132913
"Nomascus_leucogenys",61229,27915,699222,260223,1,1,1,1,4,2,1,8,6,2,15,13,50,346,346,2.193408562,11.41978474,9.325882142,2.648490367,11.04397636,10.54651965,50549,18682,664682,233499,1,1,1,1,6,5,2,10,10,3,17,17,50,346,346,2.705759555,13.14926111,12.50123113,3.058671501,11.27157513,11.37542872
"Ochotona_princeps",32246,21256,337492,202438,1,1,1,1,4,2,1,8,7,1,14,13,50,313,317,1.517030486,10.46616635,9.524557772,1.777004038,10.10578961,10.26055104,28888,17969,331266,196405,1,1,1,1,5,4,1,9,8,2,15,14,50,313,317,1.607657633,11.46725284,10.93054705,1.916761643,10.17760213,10.5112397
"Orcinus_orca",71861,26244,874942,269379,1,1,1,1,5,3,1,9,6,3,16,14,50,313,313,2.738187776,12.17547766,10.26745161,3.385303307,11.03016461,11.21974609,60061,17488,837307,242694,1,1,1,1,7,6,2,11,11,4,18,19,50,313,313,3.434412168,13.94094337,13.88123285,3.854896357,11.19882338,12.05825512
"Oreochromis_niloticus",79708,41925,876273,372888,1,1,1,1,3,3,1,7,6,2,14,12,50,239,245,1.901204532,10.99353892,8.895122242,2.048505341,12.12099356,9.852671335,60031,27057,807661,323211,1,1,1,1,6,5,1,10,9,3,17,15,50,239,245,2.218686477,13.4540654,11.94622464,2.356645611,12.94367601,10.90784261
"Ornithorhynchus_anatinus",52820,29622,568032,242064,1,1,1,1,3,1,1,7,4,2,15,11,50,228,228,1.783134157,10.75410829,8.172236851,1.95998984,11.43229337,10.00194648,34567,14874,503238,196412,1,1,1,1,7,6,1,11,10,3,19,17,50,228,228,2.323988167,14.55833599,13.20539196,2.516638654,12.09735303,11.4528595
"Oryctolagus_cuniculus",44396,24149,476553,227419,1,1,1,1,4,3,1,8,6,2,14,13,39,327,327,1.83841981,10.73414272,9.418733695,1.974467574,10.40920076,10.15016,38068,19433,453751,211748,1,1,1,1,5,4,1,9,8,2,16,15,39,327,327,1.958935831,11.91948618,10.89775125,2.106314278,10.66571053,10.72039239
"Oryzias_latipes",51592,26665,686696,284584,1,1,1,1,5,3,1,10,8,2,17,14,42,255,260,1.934820926,13.3101256,10.67369211,1.999462863,13.97063962,10.89570851,44962,21621,664804,269177,1,1,1,1,6,5,1,11,10,2,19,16,42,255,260,2.079552287,14.7859081,12.45030295,2.128168531,14.34549956,11.29582424
"Pan_troglodytes",103711,34742,1261384,317522,1,1,1,1,4,2,1,9,5,3,16,13,51,360,372,2.985176443,12.16249,9.147832595,4.062539532,13.91617664,10.97816723,84281,20652,1200707,276020,1,1,1,1,6,5,2,11,10,5,18,18,51,360,372,4.081009103,14.24647311,13.3747821,4.86430797,14.59422969,12.36242522
"Parus_major",46428,19002,610651,210547,1,1,1,1,5,3,1,10,8,3,17,15,50,299,299,2.443321756,13.15264496,11.08235975,2.884049965,11.83890512,11.19249005,39871,14576,585724,194656,1,1,1,1,7,6,2,12,10,3,19,18,50,299,299,2.735386937,14.69047679,13.35681943,3.1281644,12.04730369,11.74680624
"Pelodiscus_sinensis",46128,24482,490556,229528,1,1,1,1,4,3,1,8,6,2,14,13,50,364,364,1.884159791,10.63466875,9.377134221,2.14636863,10.34100168,9.977542938,37460,17950,459210,206604,1,1,1,1,5,5,1,10,9,2,16,15,50,364,364,2.086908078,12.25867592,11.51130919,2.373273374,10.76247865,10.75824214
"Poecilia_reticulata",48698,26222,631085,280393,1,1,1,1,5,4,1,9,8,2,17,14,43,251,251,1.857142857,12.95915643,10.69357791,1.904821743,12.40029729,10.52539357,43948,22449,615557,268052,1,1,1,1,6,5,1,10,9,2,18,15,43,251,251,1.957681857,14.00648494,11.94088824,2.014976421,12.60184862,10.85739579
"Pogona_vitticeps",42697,21573,487637,230750,1,1,1,1,5,4,1,9,8,2,15,14,34,310,310,1.979186947,11.42087266,10.69665786,1.923143795,10.20371125,10.22644805,38808,18491,474878,220429,1,1,1,1,5,5,1,10,9,2,16,16,34,310,310,2.098750744,12.2366007,11.92104267,2.027150504,10.34162454,10.52700748
"Pongo_abelii",58757,27984,620539,259357,1,1,1,1,4,2,1,8,6,2,14,13,52,313,315,2.099664094,10.56110761,9.27240566,2.372677361,10.30849949,10.3327971,50118,20068,599622,240819,1,1,1,1,5,5,2,9,9,3,15,16,52,313,315,2.49740881,11.96420448,12.00229221,2.680349966,10.50294748,10.97006599
"Propithecus_coquereli",29768,20688,299978,203104,1,1,1,1,4,3,1,8,7,1,13,13,34,313,313,1.438901779,10.07719699,9.818445476,1.12075503,9.435102065,9.941410228,28081,19101,296255,199627,1,1,1,1,4,4,1,8,8,1,14,14,34,313,313,1.470132454,10.55001603,10.45128527,1.156638263,9.498864084,10.07516235
"Python_bivittatus",35976,21973,377971,211958,1,1,1,1,4,4,1,8,7,2,14,13,34,294,301,1.637282119,10.50619858,9.64656624,1.455123007,10.08164946,9.218426844,31158,17983,358509,196001,1,1,1,1,5,5,1,9,8,2,15,14,34,294,301,1.732636379,11.50616214,10.89923817,1.548362385,10.38781075,9.599861839
"Rattus_norvegicus",100958,34322,1144963,327700,1,1,1,1,4,2,1,8,5,3,15,13,51,336,338,2.941495251,11.34098338,9.553930424,3.712923693,13.76428771,11.22866871,75922,20131,1043586,275819,1,1,1,1,6,5,2,10,11,5,17,19,51,336,338,3.771397347,13.74550196,13.70652228,4.30858828,14.66050732,12.63003724
"Rhincodon_typus",34443,27898,266636,204224,1,1,1,1,3,3,1,5,5,1,10,10,26,166,166,1.234604631,7.741369799,7.321062442,0.798821422,7.441325609,7.431052028,26807,20597,246311,184871,1,1,1,1,4,4,1,7,7,1,12,12,26,166,166,1.301500218,9.188309024,8.975821722,0.904384017,7.785356867,7.932297395
"Sarcophilus_harrisii",52656,24347,651335,245319,1,1,1,1,4,3,1,9,7,2,16,14,50,325,326,2.162730521,12.36962549,10.07635438,2.487785504,12.15858165,10.7261052,44278,18023,616152,222799,1,1,1,1,6,5,1,11,10,3,18,16,50,325,326,2.456749709,13.91553367,12.36242579,2.737974852,12.38922968,11.43025789
"Strongylocentrotus_purpuratus",45216,32946,441491,261048,1,1,1,1,3,3,1,6,5,1,12,10,50,246,246,1.372427609,9.764043701,7.924361076,1.247055275,11.77167648,9.161394165,25694,16770,330886,181841,1,1,1,1,5,4,1,9,8,2,16,14,50,246,246,1.532140727,12.87794816,10.84335122,1.419079252,13.54977051,10.90843464
"Sus_scrofa",78738,27340,966733,289236,1,1,1,1,5,3,1,9,7,3,16,15,51,321,321,2.879956108,12.27784551,10.59323336,4.132857157,11.2604034,11.3220101,65739,19732,911136,257906,1,1,1,1,6,5,2,11,10,4,18,18,51,321,321,3.331593351,13.85990052,13.08204946,4.610352887,11.56643964,12.21835647
"Taeniopygia_guttata",49901,21722,648258,227824,1,1,1,1,4,3,1,10,7,2,17,14,51,300,300,2.297256238,12.99088195,10.4890894,2.901983786,12.83430152,10.99443823,36346,12900,571586,181813,1,1,1,1,7,6,2,12,11,3,20,18,51,300,300,2.81751938,15.72624223,14.09465116,3.421728889,13.5593995,12.01546743
"Takifugu_rubripes",54376,26887,708721,293756,1,1,1,1,5,4,1,10,8,2,17,15,45,251,251,2.022390003,13.03370972,10.92594934,2.081152436,12.94393016,10.84103274,43277,19146,646893,255213,1,1,1,1,7,6,1,11,10,3,19,17,41,251,251,2.260367701,14.94773205,13.33014729,2.271504323,13.45970438,11.41602046
"Terrapene_carolina_triunguis",36577,24225,388059,229889,1,1,1,1,4,3,1,8,7,1,14,13,50,166,168,1.509886481,10.60937201,9.490361197,1.394842746,10.37851373,9.685374174,29253,17991,344520,196570,1,1,1,1,5,4,1,9,8,2,15,15,50,166,168,1.625979656,11.77725362,10.92629648,1.537347128,10.73815781,10.11435523
"Thamnophis_sirtalis",26875,19785,234815,157266,1,1,1,1,3,3,1,6,6,1,11,10,30,309,309,1.358352287,8.737302326,7.949608289,1.085024758,8.263627543,7.88027309,24864,17949,228637,151573,1,1,1,1,4,3,1,7,6,1,12,11,30,309,309,1.385258232,9.195503539,8.445484428,1.126769201,8.4136958,8.091079161
"Tinamus_guttatus",19261,16999,189997,161173,1,1,1,1,4,3,1,7,7,1,13,12,27,296,296,1.133066651,9.864337262,9.482028355,0.668883972,9.331593388,9.269710684,17589,15363,185309,156570,1,1,1,1,4,4,1,8,8,1,14,13,27,296,296,1.144893575,10.53550515,10.19175942,0.700282965,9.484042944,9.464888199
"Tupaia_chinensis",47766,27859,462006,242960,1,1,1,1,3,2,1,7,5,2,13,12,50,314,314,1.714562619,9.672277352,8.721562152,1.771113792,9.590885784,9.808733637,38071,20110,434765,221529,1,1,1,1,5,4,1,9,8,2,15,15,50,314,314,1.893137742,11.41984713,11.01626057,1.997727997,9.956130677,10.58467249
"Tursiops_truncatus",68179,25730,808615,264988,1,1,1,1,5,3,1,9,7,3,16,14,50,313,313,2.649786242,11.86017689,10.30209872,3.136789852,10.6807373,11.1313898,51994,15680,722782,220974,1,1,1,1,7,6,2,11,11,4,18,19,50,313,313,3.315943878,13.90125784,14.09598214,3.545885329,11.01318099,12.11043784
"Xenopus_tropicalis",53207,28302,647166,264651,1,1,1,1,4,2,1,8,6,2,16,13,50,352,352,1.879973147,12.16317402,9.351529927,2.202298981,13.84063834,10.70285632,41224,18626,590973,230986,1,1,1,1,6,5,1,11,10,3,18,16,50,159,160,2.213250295,14.33565399,12.40169655,2.468235463,14.11308131,11.21780585
