species,commonName,group,database,taxid,link,filePrefix,num_transcript,num_gene,num_exon,num_uniqExon,min_transcriptPerGene,min_exonPerTranscript,min_exonPerGene,q1_transcriptPerGene,q1_exonPerTranscript,q1_exonPerGene,median_transcriptPerGene,median_exonPerTranscript,median_exonPerGene,q3_transcriptPerGene,q3_exonPerTranscript,q3_exonPerGene,max_transcriptPerGene,max_exonPerTranscript,max_exonPerGene,mean_transcriptPerGene,mean_exonPerTranscript,mean_exonPerGene,std_transcriptPerGene,std_exonPerTranscript,std_exonPerGene
Xenopus tropicalis,tropical clawed frog,amphibia,refseq,,,GCF_000004195.4_UCB_Xtro_10.0_genomic.novel,11983,9676,56193,33672,1,1,1,1,1,1,1,2,2,1,5,4,50,352,352,1.238424969,4.689393307,3.480053741,1.354290859,9.658040352,6.359571519
Anolis carolinensis,"green anole, Carolina anole",reptilia,refseq,,,GCF_000090745.1_AnoCar2.0_genomic.novel,4434,3221,13036,10359,1,1,1,1,2,2,1,3,3,1,3,3,14,40,40,1.376591121,2.940009021,3.216081962,0.893766364,2.245080965,2.355356454
Cavia porcellus,domestic guinea pig,mammal,refseq,,,GCF_000151735.1_Cavpor3.0_genomic.novel,8146,6771,21452,16429,1,1,1,1,1,1,1,2,2,1,3,3,31,43,45,1.203071924,2.633439725,2.426377197,0.910936028,2.126665772,2.24273154
Microcebus murinus,gray mouse lemur,mammal,refseq,,,GCF_000165445.2_Mmur_3.0_genomic.novel,14970,9226,56237,34562,1,1,1,1,3,2,1,3,3,2,4,4,50,37,55,1.622588337,3.756646627,3.746152179,1.701962922,2.330075399,3.062094301
Felis catus,cat,mammal,refseq,,,GCF_000181335.3_Felis_catus_9.0_genomic.novel,16798,12297,56234,38618,1,1,1,1,2,2,1,3,2,1,4,4,25,39,47,1.366024234,3.347660436,3.140440758,1.099310903,2.633692773,2.637044953
Python bivittatus,Burmese python,reptilia,refseq,,,GCF_000186305.1_Python_molurus_bivittatus-5.0.2_genomic.novel,4818,3990,19462,15963,1,1,1,1,2,2,1,3,3,1,5,5,20,57,57,1.207518797,4.03943545,4.00075188,0.793583954,3.581852492,3.699443961
Ciona intestinalis,vase tunicate,urochordata,refseq,,,GCF_000224145.3_KH_genomic.novel,7728,5426,40260,27268,1,1,1,1,2,2,1,3,3,1,6,6,25,102,105,1.424253594,5.209627329,5.02709178,1.117549016,6.12592084,5.440808721
Latimeria chalumnae,coelacanth,sarcopterygii,refseq,,,GCF_000225785.1_LatCha1_genomic.novel,7688,6674,25734,21865,1,1,1,1,3,2,1,3,3,1,3,3,21,43,43,1.151932874,3.347294485,3.276146239,0.721938968,2.267258477,2.126737527
Pelodiscus sinensis,Chinese soft-shelled turtle,reptilia,refseq,,,GCF_000230535.1_PelSin_1.0_genomic.novel,8668,6532,31346,22943,1,1,1,1,2,2,1,3,3,1,4,4,37,51,51,1.327005511,3.616289802,3.51240049,1.168640164,2.800587139,2.856170287
Alligator mississippiensis,American alligator,reptilia,refseq,,,GCF_000281125.3_ASM28112v4_genomic.novel,8917,6368,31211,22897,1,1,1,1,2,2,1,3,3,1,4,4,26,30,33,1.400282663,3.500168218,3.595634422,1.160490322,1.853459709,2.408943555
Erinaceus europaeus,western European hedgehog,mammal,refseq,,,GCF_000296755.1_EriEur2.0_genomic.novel,1245,1187,3138,2953,1,1,1,1,1,1,1,2,2,1,3,3,6,35,35,1.048862679,2.520481928,2.48778433,0.297779818,2.219239121,2.262043442
Echinops telfairi,small Madagascar hedgehog/tenrec,mammal,refseq,,,GCF_000313985.2_ASM31398v2_genomic.novel,7475,6839,16709,14384,1,1,1,1,1,1,1,1,1,1,3,2,12,70,70,1.092996052,2.235317726,2.103231467,0.553493321,2.667735952,2.683104945
Orcinus orca,killer whale,mammal,refseq,,,GCF_000331955.2_Oorc_1.1_genomic.novel,11800,8756,37635,26704,1,1,1,1,2,1,1,3,2,1,4,3,35,47,47,1.347647328,3.18940678,3.049794427,1.329872979,2.443074689,2.953674103
Tupaia chinensis,Chinese tree shrew,mammal,refseq,,,GCF_000334495.1_TupChi_1.0_genomic.novel,9695,7749,27241,21437,1,1,1,1,1,1,1,3,2,1,3,3,15,74,74,1.251129178,2.809798865,2.766421474,0.789327905,2.205533233,2.453365322
Columba livia,rock pigeon,aves,refseq,,,GCF_000337935.1_Cliv_1.0_genomic.novel,19719,11421,86833,47952,1,1,1,1,3,2,1,3,3,2,5,5,50,46,78,1.726556344,4.403519448,4.19858156,2.348846187,3.348674642,4.070994502
Alligator sinensis,Chinese alligator,reptilia,refseq,,,GCF_000455745.1_ASM45574v1_genomic.novel,7281,5709,25868,20254,1,1,1,1,2,2,1,3,3,1,4,4,24,55,55,1.275354703,3.55280868,3.548081976,0.947939011,2.775479987,2.851377281
Poecilia reticulata,guppy,actinopterygii,refseq,,,GCF_000633615.1_Guppy_female_1.0_MT_genomic.novel,4750,3773,15528,12346,1,1,1,1,2,2,1,3,3,1,4,4,13,24,24,1.258945136,3.269052632,3.272197191,0.800982066,1.760218234,2.052818813
Galeopterus variegatus,Sunda flying lemur,mammal,refseq,,,GCF_000696425.1_G_variegatus-3.0.2_genomic.novel,4237,3951,10451,9480,1,1,1,1,1,1,1,2,2,1,3,3,9,28,35,1.072386738,2.466603729,2.399392559,0.401672892,1.896926371,1.783451251
Tinamus guttatus,white-throated tinamou,aves,refseq,,,GCF_000705375.1_ASM70537v2_genomic.novel,1672,1636,4688,4609,1,1,1,1,2,2,1,3,3,1,3,3,3,19,19,1.02200489,2.803827751,2.817237164,0.173483511,1.522159381,1.563410745
Nipponia nippon,crested ibis,aves,refseq,,,GCF_000708225.1_ASM70822v1_genomic.novel,411,408,908,895,1,1,1,1,1,1,1,1,1,1,3,3,2,36,36,1.007352941,2.209245742,2.193627451,0.085538347,2.791102967,2.801238508
Nanorana parkeri,tibet frog,amphibia,refseq,,,GCF_000935625.1_ASM93562v1_genomic.novel,2652,2574,6897,6754,1,1,1,1,1,1,1,3,3,1,3,3,6,39,39,1.03030303,2.600678733,2.623931624,0.236272027,1.964617113,2.037156387
Colobus angolensis palliatus,Angolan colobus monkey,mammal,refseq,,,GCF_000951035.1_Cang.pa_1.0_genomic.novel,4971,4656,12064,11327,1,1,1,1,1,1,1,2,2,1,3,3,10,23,23,1.067654639,2.42687588,2.432774914,0.418603065,1.674291909,1.82198995
Mandrillus leucophaeus,mandrill,mammal,refseq,,,GCF_000951045.1_Mleu.le_1.0_genomic.novel,4987,4675,12570,11854,1,1,1,1,1,1,1,2,2,1,3,3,10,32,32,1.066737968,2.520553439,2.535614973,0.430237556,1.807228171,1.980371163
Propithecus coquereli,Coquerel's sifaka,mammal,refseq,,,GCF_000956105.1_Pcoq_1.0_genomic.novel,1687,1587,3723,3494,1,1,1,1,1,1,1,2,2,1,3,3,6,35,35,1.063011972,2.206876111,2.201638311,0.345844365,1.80693278,1.943313258
Apteryx mantelli mantelli,North Island brown kiwi,aves,refseq,,,GCF_001039765.1_AptMant0_genomic.novel,3368,2780,11344,9171,1,1,1,1,2,2,1,3,3,1,4,4,21,38,38,1.211510791,3.368171021,3.298920863,0.78388585,2.010624286,2.185743065
Thamnophis sirtalis,garter snake,reptilia,refseq,,,GCF_001077635.1_Thamnophis_sirtalis-6.0_genomic.novel,2011,1836,6178,5695,1,1,1,1,2,2,1,3,3,1,4,4,9,23,23,1.095315904,3.072103431,3.101851852,0.445577552,1.629721614,1.811852245
Gekko japonicus,Gecko,reptilia,refseq,,,GCF_001447785.1_Gekko_japonicus_V1.1_genomic.novel,2194,2121,4633,4373,1,1,1,1,1,1,1,1,1,1,3,3,5,17,17,1.034417727,2.111668186,2.061763319,0.230347877,1.612994611,1.593753876
Parus major,Great Tit,aves,refseq,,,GCF_001522545.3_Parus_major1.1_genomic.novel,6557,4426,24927,15898,1,1,1,1,2,2,1,3,3,1,4,4,22,42,42,1.481473113,3.801586091,3.59195662,1.509666091,2.840826719,3.202861491
Branchiostoma belcheri,Belcher's lancelet,cephalochordate,refseq,,,GCF_001625305.1_Haploidv18h27_genomic.novel,4757,4106,22833,18938,1,1,1,1,2,2,1,3,3,1,5,5,46,80,80,1.158548466,4.79987387,4.613005358,0.969169685,5.118968993,5.039431979
Rhincodon typus,whale shark,chondrichthyes,refseq,,,GCF_001642345.1_ASM164234v2_genomic.novel,7636,7301,20325,19367,1,1,1,1,1,1,1,3,3,1,3,3,7,72,72,1.045884125,2.661733892,2.652787289,0.287556741,1.957480527,1.994884409
Crocodylus porosus,Australian saltwater crocodile,reptilia,refseq,,,GCF_001723895.1_CroPor_comp1_genomic.novel,5325,4774,15744,14192,1,1,1,1,2,2,1,3,3,1,3,3,16,24,24,1.115416841,2.956619718,2.972769166,0.533677343,1.268216561,1.362948394
Gavialis gangeticus,Gharial,reptilia,refseq,,,GCF_001723915.1_GavGan_comp1_genomic.novel,5044,4480,14863,12989,1,1,1,1,2,2,1,3,3,1,3,3,11,36,46,1.125892857,2.94666931,2.899330357,0.527221997,1.999635801,1.570235397
Oreochromis niloticus,Nile tilapia,actinopterygii,refseq,,,GCF_001858045.2_O_niloticus_UMD_NMBU_genomic.novel,19677,14868,68612,49698,1,1,1,1,2,2,1,3,3,1,4,4,28,62,68,1.323446328,3.486913656,3.342682271,1.099586457,3.031764816,3.072770837
Acanthaster planci,crown-of-thorns starfish,echinoderm,refseq,,,GCF_001949145.1_OKI-Apl_1.0_genomic.novel,5323,3432,26985,16705,1,1,1,1,3,2,1,4,3,2,6,6,17,56,57,1.550990676,5.069509675,4.867424242,1.343732998,4.324586062,4.500807209
Oryzias latipes,Japanese medaka,actinopterygii,refseq,,,GCF_002234675.1_ASM223467v1_genomic.novel,6630,5044,21892,15426,1,1,1,1,2,2,1,3,2,1,4,3,29,49,54,1.31443299,3.301960784,3.058287074,1.116397467,2.87480707,3.022516585
Bos taurus ,cattle,mammal,refseq,,,GCF_002263795.1_ARS-UCD1.2_genomic.novel,15109,11034,45334,32137,1,1,1,1,1,1,1,2,2,1,4,3,34,77,77,1.369313032,3.0004633,2.913902483,1.19038907,3.282169526,3.214614268
Delphinapterus leucas,beluga whale,mammal,refseq,,,GCF_002288925.2_ASM228892v3_genomic.novel,8318,6019,28539,18546,1,1,1,1,1,1,1,3,2,1,4,4,36,35,41,1.381957136,3.430993027,3.081408872,1.320196199,2.796575699,3.101048549
Equus caballus,horse,mammal,refseq,,,GCF_002863925.1_EquCab3.0_genomic.novel,15406,9843,53127,34389,1,1,1,1,2,2,1,3,3,2,4,4,50,35,55,1.56517322,3.448461638,3.493751905,1.601758755,2.559345331,3.095354559
Pan troglodytes,chimpanzee,mammal,refseq,,,GCF_002880755.1_Clint_PTRv2_genomic.novel,19430,14090,60677,41591,1,1,1,1,1,1,1,3,2,1,4,3,50,73,76,1.378992193,3.122851261,2.9523066,1.293974025,3.042020077,2.93151719
Pongo abelii,Sumatran orangutan,mammal,refseq,,,GCF_002880775.1_Susie_PABv2_genomic.novel,8639,7916,20917,18613,1,1,1,1,1,1,1,2,1,1,3,3,15,41,41,1.091334007,2.421229309,2.351819101,0.520333912,2.260734895,2.359298583
Terrapene carolina triunguis,Three-toed box turtle,reptilia,refseq,,,GCF_002925995.2_T_m_triunguis-2.0_genomic.novel,7324,6234,43539,33329,1,1,1,1,2,1,1,3,3,1,7,6,21,104,104,1.17484761,5.944702348,5.346326596,0.767273004,7.083865885,6.795531805
Macaca mulatta,Rhesus monkey,reptilia,refseq,,,GCF_003339765.1_Mmul_10_genomic.novel,19805,15149,61453,43993,1,1,1,1,1,1,1,2,2,1,4,3,50,56,75,1.30734702,3.102903307,2.904086078,1.185829552,3.783076592,2.989944828
Taeniopygia guttata,zebra finch,aves,refseq,,,GCF_003957565.2_bTaeGut1.4.pri_genomic.novel,13555,8822,76672,46016,1,1,1,1,2,2,1,3,3,1,7,6,50,107,108,1.53649966,5.656362966,5.216844253,1.625306721,6.288859357,6.302776733
Ornithorhynchus anatinus,platypus,mammal,refseq,,,GCF_004115215.2_mOrnAna1.pri.v4_genomic.novel,18253,14748,64794,45659,1,1,1,1,1,1,1,2,1,1,4,3,29,67,67,1.237659344,3.54977264,3.096080825,0.857912802,4.664235957,4.163024046
Nomascus leucogenys,northern white-cheeked gibbon,mammal,refseq,,,GCF_006542625.1_Asia_NLE_v1_genomic.novel,10680,9233,34540,26782,1,1,1,1,1,1,1,2,2,1,4,3,36,75,82,1.156720459,3.234082397,2.900898949,0.819909423,4.095072901,3.575296805
Gorilla gorilla gorilla,western lowland gorilla,mammal,refseq,,,GCF_008122165.1_Kamilah_GGO_v0_genomic.novel,24314,15692,195264,95948,1,1,1,1,2,1,1,4,3,1,10,7,41,360,360,1.54945195,8.030928683,6.11591894,1.749470732,10.50124263,9.385403071
Callithrix jacchus,white-tufted-ear marmoset,mammal,refseq,,,GCF_009663435.1_Callithrix_jacchus_cj1700_1.1_genomic.novel,24467,16249,105000,53978,1,1,1,1,1,1,1,3,2,1,5,4,50,78,88,1.5057542,4.291494666,3.322481383,2.117512034,4.955194737,4.326914992
Fundulus heteroclitus,mummichog/killifish,actinopterygii,refseq,,,GCF_011125445.2_MU-UCD_Fhet_4.1_genomic.novel,15651,12457,69359,52294,1,1,1,1,2,2,1,3,3,1,5,5,50,90,90,1.256402023,4.431601815,4.198522919,0.988333193,4.728795142,4.51848104
Tursiops truncatus,common bottlenose dolphin,mammal,refseq,,,GCF_011762595.1_mTurTru1.mat.Y_genomic.novel,16185,10050,85833,44040,1,1,1,1,2,1,1,3,3,1,6,5,50,119,122,1.610447761,5.303243744,4.382885572,1.949912746,5.876707794,5.560321168
Ochotona princeps,American pika,mammal,refseq,,,GCF_014633375.1_OchPri4.0_genomic.novel,3358,3287,6226,6043,1,1,1,1,1,1,1,1,1,1,2,2,7,72,72,1.021600243,1.854079809,1.838454518,0.213274034,2.609445225,2.633138882
Rattus norvegicus,Brown rat,mammal,refseq,,,GCF_015227675.2_mRatBN7.2_genomic.novel,25036,14191,101377,51978,1,1,1,1,2,1,1,3,3,2,4,4,50,97,156,1.764216757,4.049249081,3.663166796,2.155300091,6.442278084,4.41518567
Chelonia mydas,Green sea turtle,reptilia,refseq,,,GCF_015237465.2_rCheMyd1.pri.v2_genomic.novel,18695,11579,100942,54516,1,1,1,1,3,2,1,3,3,1,6,5,50,88,89,1.614560843,5.399411607,4.708524052,2.162367264,6.268861957,5.691371921
Anas platyrhynchos,mallard,aves,refseq,,,GCF_015476345.1_ZJU1.0_genomic.novel,20468,11968,120799,63870,1,1,1,1,3,2,1,4,3,2,7,6,44,121,124,1.710227273,5.901846785,5.337566845,2.19168091,6.39387246,6.175697158
Gallus domesticus,chicken,aves,refseq,,,GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.novel,18873,10012,101717,47098,1,1,1,1,2,2,1,3,3,2,6,5,50,307,307,1.885037954,5.389551211,4.706352377,2.840139932,6.442246851,6.275487844
Callorhinchus milii,elephant shark,chondrichthyes,refseq,,,GCF_018977255.1_IMCB_Cmil_1.0_genomic.novel,6645,5925,26416,19779,1,1,1,1,1,1,1,2,2,1,4,4,45,133,133,1.121518987,3.975319789,3.338227848,0.840053446,6.591320626,4.868254026
Pogona vitticeps,central bearded dragon,reptilia,refseq,,,GCF_900067755.1_pvi1.1_genomic.novel,3889,3082,12759,10327,1,1,1,1,3,2,1,3,3,1,4,4,16,41,41,1.261842959,3.280791977,3.350746269,0.795902508,1.714991929,2.050153633
Takifugu rubripes,torafugu,actinopterygii,refseq,,,GCF_901000725.2_fTakRub1.2_genomic.novel,11099,7741,61828,38546,1,1,1,1,2,2,1,3,3,1,6,6,45,78,78,1.433794083,5.570591945,4.9795892,1.340066308,6.668403218,6.01884181
Sarcophilus harrisii,Tasmanian devil,mammal,refseq,,,GCF_902635505.1_mSarHar1.11_genomic.novel,8378,6324,35183,22521,1,1,1,1,2,2,1,3,3,1,4,4,50,81,94,1.324794434,4.199450943,3.561195446,1.230822989,6.207329857,3.639958649
